Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,N/A,₹986,4.3 out of 5 stars,"5,589",N/A,N/A,N/A,N/A
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,N/A,₹598,4.3 out of 5 stars,"10,922",N/A,N/A,N/A,N/A
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,N/A,"₹1,199",4.0 out of 5 stars,"54,203",N/A,N/A,N/A,N/A
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,N/A,₹669,4.1 out of 5 stars,"4,547",N/A,N/A,N/A,N/A
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,N/A,₹499,3.9 out of 5 stars,801,N/A,N/A,Material: Water Resistant Light-Weight Polyester<br>    Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>    Closure Type: Zipper<br>,Visit the ADISA Store
https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_4_1375464031_1,N/A,₹529,3.9 out of 5 stars,"15,923",N/A,N/A,N/A,N/A
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,N/A,₹699,4.0 out of 5 stars,"4,022",N/A,N/A,N/A,N/A
https://www.amazon.in/gp/bestsellers/luggage/ref=sr_bs_6_luggage_1,N/A,₹248,4.0 out of 5 stars,"19,027",N/A,N/A,N/A,N/A
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,N/A,₹599,3.8 out of 5 stars,"2,034",N/A,N/A,"Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.    Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.    Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )    Care Instructions: Wipe with Dry Cloth    Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.",Visit the TRUE HUMAN Store
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,N/A,₹899,4.3 out of 5 stars,"5,925",N/A,N/A,N/A,N/A
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,N/A,₹698,4.1 out of 5 stars,"1,273",Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,N/A,"Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessories    CAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problem    FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult    COMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.    12 Months Limited Brand Warranty",Brand: Wesley
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,N/A,"₹1,999",4.5 out of 5 stars,"7,037",N/A,N/A,N/A,N/A
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ,N/A,₹899,3.9 out of 5 stars,"9,506",N/A,N/A,N/A,N/A
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,N/A,₹699,4.0 out of 5 stars,"4,022",N/A,N/A,N/A,N/A
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,N/A,₹649,4.4 out of 5 stars,"3,041",N/A,N/A,N/A,N/A
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,N/A,₹599,3.8 out of 5 stars,141,N/A,N/A,N/A,N/A
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,N/A,₹986,4.3 out of 5 stars,"5,589",N/A,N/A,N/A,N/A
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,N/A,₹598,4.3 out of 5 stars,"10,922",N/A,N/A,N/A,N/A
